QTY,Description,Note/Carrier,Face or Leg,Offset Type,Horizontal,Lateral,Vertical,Azimuth Adjustment(degree),Placement(ft),CaAa Front (No Ice) ft^2,"CaAa Front (1/2"" Ice) ft^2",CaAa Side (No Ice) ft^2,"CaAa Side (1/2"" Ice) ft^2",Weight (No Ice) Weight,"Weight (1/2"" Ice) Weight"
60,"(ATT),Encsson 4426 B66,(14.9x9_3x4)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,2.329,1.155,1.720,0.519,0.111,0.049
61,"(ATT),Ericsson 4426 B66,(24.9x9.3x4)",ATT,B,From Leg,0.000,3.000,0.000,0.0000,300.000,1.438,1.155,0.736,0.519,0.068,0.049
62,"(ATT),Ericsson 4426 B66,(14.9x9_3x4)",ATT,Cc,From Leg,0.000,3.000,0.000,0.0000,300.000,1.438,1.155,0.736,0.519,0.068,0.049
63,"_ TD,Ericsson 4478 B14,(ATT)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,1.438,2.021,0.736,1.252,0.068,0.059
64,"Encsson 4478 B14,(ATT)",ATT,C, Frmleg,0.000,3.000,0.000,0.0000,300.000,2.386,2.021,1.560,1.252,0.097,0.059
65,"Commscope,CBC78T-DS-43-2X",,A,From Leg,0.000,3.000,0.000,0.0000,300.000,2.386,0.368,1560,0.256,0.097,0.010
66,"(ATT),Commscope,CBC78T-DS-43-2X",ATT,B,From Leg,0.000,3.000,0.000,0.0000,300.000,0.531,0.368,0.395,0.256,0.020,0.010
67,"(ATT),Commscope,CBC78T-DS-+43-2X",ATT,C, FromLleg,0.000,3.000,0.000,0.0000,300.000,0.531,0.368,0.395,0.256,0.020,0.010
68,(ATT),ATT,A,From Leg,3.000,0.000,0.000,0.0000,300.000,5.945,6.256,2.268,2.498,0.128,0.166
69,"Encsson AIRG483,(ATT)",ATT,B,From Leg,3.000,0.000,0.000,0.0000,300.000,5.945,6.256,2.268,2.498,0.128,0.166
70,"Encsson 4449 B5/B12,(37.9x13.2x9.4),(ATT)",ATT,A,From Leg,0.000,0000,,0.0000,300.000,2.145,390,1.558,170,0.071,0.089
71,"_ (EMO),Site Pro 1 VFA12-HD Sector",EMO,B,From Leg,0.000,2.000,0.000,0.0000,280.000,25.800,13.200,19.500,9.200,1.015,0.658
72,"(4) 10’ x 2.5"" STD Pipe,Mount,(T™MO)",,B,From Leg,3.500,0.000,0.000,0.0000,280.000,2.875,3.907,2.875,3.907,0.058,0.079
73,"(TMO),1/3 REMAINING,RESERVED RIGHTS",TMO,C, FromLeg,0.000,4.000,0.000,0.0000,280.000,26.350,19.570,26.350,19.570,0.417,0.209
74,"(TMO),1/3 REMAINING,RESERVED RIGHTS",TMO,B,From Leg,0.000,4.000,0.000,0.0000,280.000,26.350,19.570,26.350,19.370,0.417,0.209
75,"NOKIA AHFII,(TMO)",TMO,Cc,From Leg,0.000,3.000,0.000,0.0000,280.000,3.700,3.227,1.771,1.407,0.119,0.072
76,"(IMO),1/3 REMAINING,RESERVED RIGHTS",IMO,B,From Leg,0.000,4.000,0.000,0.0000,280.000,26.350,19.570,26.350,19.370,0.417,0.209
